EllipsoidCode,DatumCode,DatumName,EPSGCode,dX,dY,dZ,RMSError,EllipsoidName,Flattening,SemiMajorAxis
CLARKE_1880,CONGO_1960_POINT_NOIRE,Congo 1960 Point Noire,6282,-148,51,-291,43.00,Clarke 1880,293.465,6378249.145
EVEREST_E_MALAYSIA,EVEREST_ELLIPSOID,"Everest ellipsoid (Brunei,Sabah,Sarawak)",7016,0,0,0,955.00,Everest Brunei and E. Malaysia (Sabah and Sarawak),300.8017,6377298.556
EVEREST_E_MALAYSIA,TIMBALAI_1948,Timbalai 1948,6298,-679,669,-48,19.00,Everest Brunei and E. Malaysia (Sabah and Sarawak),300.8017,6377298.556
EVEREST_INDIA_1830,EVEREST_INDIA_1830_ELLIPSOID,Everest India 1830 ellipsoid,7015,0,0,0,976.00,Everest India 1830,300.8017,6377276.345
EVEREST_INDIA_1830,INDIAN_1954,Indian 1954,6239,217,823,299,20.00,Everest India 1830,300.8017,6377276.345
EVEREST_INDIA_1830,INDIAN_1975,Indian 1975,6240,210,814,289,5.00,Everest India 1830,300.8017,6377276.345
EVEREST_INDIA_1830,KANDAWALA,Kandawala,6244,-97,787,86,35.00,Everest India 1830,300.8017,6377276.345
EVEREST_INDIA_1830,INDIAN_1960_MEAN,Indian 1960,6131,190,898,330,67.00,Everest India 1830,300.8017,6377276.345
EVEREST_INDIA_1856,EVEREST_INDIA_1856_ELLIPSOID,Everest India 1856 ellipsoid,7044,0,0,0,0.00,,,
EVEREST_INDIA_1956,INDIAN_MEAN,Indian,,287,715,247,87.00,Everest India 1956,300.8017,6377301.243
EVEREST_PAKISTAN,EVEREST_PAKISTAN_ELLIPSOID,Everest Pakistan ellipsoid,,0,0,0,0.00,Everest Pakistan,300.8017,6377309.613
EVEREST_W_MALAYSIA_1948,EVEREST_WEST_MALAYSIA_1948_ELLIPSOID,Everest W Malaysia 1948 ellipsoid,7018,0,0,0,851.00,Everest W. Malaysia and Singapore 1948,300.8017,6377304.063
EVEREST_W_MALAYSIA_1948,KERTAU_1948,Kertau 1948,,-11,851,5,14.00,Everest W. Malaysia and Singapore 1948,300.8017,6377304.063
EVEREST_W_MALAYSIA_1969,EVEREST_WEST_MALAYSIA_1969_ELLIPSOID,Everest W Malaysia 1969 ellipsoid,7056,0,0,0,851.00,Everest W. Malaysia 1969,300.8017,6377295.664
GRS80,GRS80_ELLIPSOID,GRS80 ellipsoid,8019,0,0,0,0.00,GRS80,298.257222101,6378137.0
GRS80,JAPANESE_GEODETIC_DATUM_2000,Japanese Geodetic Datum 2000,6612,0,0,0,0.00,GRS80,298.257222101,6378137.0
GRS80,SIRGAS_SOUTH_AMERICAN_GEOCENTRIC_REFERENCE_SYSTEM,SIRGAS - South American Geocentric Reference System,6170,0,0,0,0.00,GRS80,298.257222101,6378137.0
GRS80,NAD83_MEAN,North American Datum 1983,6269,0,0,0,12.00,GRS80,298.257222101,6378137.0
GRS80,SISTEMA_DE_REFERENCIA_GEOCENTRICO_PARA_AMERICA_DEL_SUR_1995,Sistema de Referencia Geocentrico para America del Sur 1995,6170,0,0,0,0.00,GRS80,298.257222101,6378137.0
HELMERT_1906,HELMERT_1906_ELLIPSOID,Helmert 1906 ellipsoid,7020,0,0,0,171.00,Helmert 1906,298.3,6378200.0
HELMERT_1906,OLD_EGYPTIAN_1907,Old Egyptian 1907,6229,-130,110,-13,10.00,Helmert 1906,298.3,6378200.0
