EllipsoidCode,DatumCode,DatumName,Flattening,SemiMajorAxis
INTERNATIONAL_1924,TRISTAN_ASTRO_1968,Tristan Astro 1968,297.0,6378388.0
INTERNATIONAL_1924,WAKE_ISLAND_ASTRO_1952,Wake Island Astro 1952,297.0,6378388.0
INTERNATIONAL_1924,YACARE,Yacare,297.0,6378388.0
INTERNATIONAL_1924,ZANDERIJ,Zanderij,297.0,6378388.0
KRASSOVSKY_1940,AFGOOYE,Afgooye,298.3,6378245.0
KRASSOVSKY_1940,KRASSOVSKY_1940_ELLIPSOID,Krassovsky 1940 ellipsoid,298.3,6378245.0
KRASSOVSKY_1940,S_42_PULKOVO_1942,S-42 (Pulkovo 1942),298.3,6378245.0
MODIFIED_AIRY,IRELAND_1965,Ireland 1965,299.3249646,6377340.189
MODIFIED_AIRY,MODIFIED_AIRY_ELLIPSOID,Modified Airy ellipsoid,299.3249646,6377340.189
MODIFIED_FISCHER_1960,MODIFIED_FISCHER_1960_ELLIPSOID,Modified Fischer 1960 ellipsoid,298.3,6378155.0
MODIFIED_FISCHER_1960,SOUTH_ASIA,South Asia,298.3,6378155.0
SOUTH_AMERICAN_1969,SOUTH_AMERICAN_1969,South American 1969,298.25,6378160.0
WGS66,WGS66,(WGS66) World Geodetic System 1966,298.25,6378145.0
WGS72,WGS72,(WGS72) World Geodetic System 1972,298.26,6378135.0
WGS84,KOREAN_GEODETIC_SYSTEM_1995,Korean Geodetic System 1995,298.257223563,6378137.0
WGS84,NOT_RECORDED,not recorded (forced WGS84),298.257223563,6378137.0
WGS84,WGS84,World Geodetic System 1984,298.257223563,6378137.0
