"DatumCode","Name","EllipsoidCode"
"QORNOQ","Qornoq","INTERNATIONAL_1924"
"REUNION","Reunion","INTERNATIONAL_1924"
"ROME_1940","Rome 1940","INTERNATIONAL_1924"
"S_42_PULKOVO_1942","S-42 (Pulkovo 1942)","KRASSOVSKY_1940"
"SANTO_DOS_1965","Santo (DOS) 1965","INTERNATIONAL_1924"
"SAO_BRAZ","Sao Braz","INTERNATIONAL_1924"
"SAPPER_HILL_1943","Sapper Hill 1943","INTERNATIONAL_1924"
"SCHWARZECK","Schwarzeck","BESSEL_1841_NAMIBIA"
"SELVAGEM_GRANDE_1938","Selvagem Grande 1938","INTERNATIONAL_1924"
"SIERRA_LEONE_1960","Sierra Leone 1960","CLARKE_1880"
"S_JTSK","S-JTSK","BESSEL_1841"
"SOUTH_AMERICAN_1969","SOUTH_AMERICAN_1969","SOUTH_AMERICAN_1969"
"SIRGAS_SOUTH_AMERICAN_GEOCENTRIC_REFERENCE_SYSTEM","SIRGAS - South American Geocentric Reference System","GRS80"
"SOUTH_ASIA","South Asia","MODIFIED_FISCHER_1960"
"TANANARIVE_OBSERVATORY_1925","Tananarive Observatory 1925","INTERNATIONAL_1924"
"TIMBALAI_1948","Timbalai 1948","EVEREST_E_MALAYSIA"
"TOKYO","Tokyo","BESSEL_1841"
"TRISTAN_ASTRO_1968","Tristan Astro 1968","INTERNATIONAL_1924"
"VITI_LEVU_1916","Viti Levu 1916","CLARKE_1880"
"VOIROL_1874","Voirol 1874","CLARKE_1880"
"VOIROL_1960","Voirol 1960","CLARKE_1880"
"WAKE_ENIWETOK_1960","Wake-Eniwetok 1960","HOUGH_1960"
"WAKE_ISLAND_ASTRO_1952","Wake Island Astro 1952","INTERNATIONAL_1924"
"WGS66","(WGS66) World Geodetic System 1966","WGS66"
"WGS72","(WGS72) World Geodetic System 1972","WGS72"
"YACARE","Yacare","INTERNATIONAL_1924"
"ZANDERIJ","Zanderij","INTERNATIONAL_1924"
